hospitalSlug,hospitalName,institutionType,providerGuess,masterDeptRows,rowsWithUrls,liveUrls,nearbyDoctorTeamUrls,seedUrlCount,safeSeedUrlCount,plannedAction,reasonSelected
"ramat-chen-brill-mental-health","מרכז בריאות הנפש רמת חן ע""ש בריל","psychiatricHospital","unknown","2","0","0","0","0","0","adapterInspect","no row URLs or no direct pilot source; adapter inspection first; no Master_Dept URLs; synthetic generic parser"
"reuth-medical-center","מרכז רפואי רעות","geriatricHospital","unknown","1","0","0","0","0","0","adapterInspect","no row URLs or no direct pilot source; adapter inspection first; no Master_Dept URLs; synthetic generic parser"
"herzog-medical-center","ביה""ח הרצוג","geriatricHospital","unknown","1","0","0","0","0","0","adapterInspect","no row URLs or no direct pilot source; adapter inspection first; no Master_Dept URLs; synthetic generic parser"
"fliman-geriatric","מ.גריאטרי פלימן","geriatricHospital","unknown","1","0","0","0","0","0","adapterInspect","no row URLs or no direct pilot source; adapter inspection first; no Master_Dept URLs; synthetic generic parser"
"beit-rivka-geriatric","מ.גריאטרי בית רבקה","geriatricHospital","unknown","1","0","0","0","0","0","adapterInspect","no row URLs or no direct pilot source; adapter inspection first; no Master_Dept URLs; synthetic generic parser"
"shmuel-harofe-geriatric","מ.גריאטרי שמואל הרופא","geriatricHospital","unknown","1","0","0","0","0","0","adapterInspect","no row URLs or no direct pilot source; adapter inspection first; no Master_Dept URLs; synthetic generic parser"
"neot-hamoshava-geriatric","מרכז גריאטרי נאות המושבה","geriatricHospital","unknown","1","0","0","0","0","0","adapterInspect","no row URLs or no direct pilot source; adapter inspection first; no Master_Dept URLs; synthetic generic parser"
"herzfeld-geriatric","מ.גריאטרי הרצפלד","geriatricHospital","unknown","1","0","0","0","0","0","adapterInspect","no row URLs or no direct pilot source; adapter inspection first; no Master_Dept URLs; synthetic generic parser"
"beit-balev-rishon-lezion","בית בלב ראשון לציון","geriatricHospital","unknown","1","0","0","0","0","0","adapterInspect","no row URLs or no direct pilot source; adapter inspection first; no Master_Dept URLs; synthetic generic parser"
"netanya-geriatric","מ.גריאטרי נתניה","geriatricHospital","unknown","1","0","0","0","0","0","adapterInspect","no row URLs or no direct pilot source; adapter inspection first; no Master_Dept URLs; synthetic generic parser"
"adi-negev-nahalat-eden","עדי נגב - נחלת עדן","geriatricHospital","unknown","1","0","0","0","0","0","adapterInspect","no row URLs or no direct pilot source; adapter inspection first; no Master_Dept URLs; synthetic generic parser"
"loewenstein-rehabilitation","ביה""ח לוינשטיין","rehabilitationHospital","unknown","1","0","0","0","0","0","adapterInspect","no row URLs or no direct pilot source; adapter inspection first; no Master_Dept URLs; synthetic generic parser"
"0504048312","׳0504048312","acuteHospital","unknown","1","0","0","0","0","0","adapterInspect","no row URLs or no direct pilot source; adapter inspection first; no Master_Dept URLs; synthetic generic parser"
"forensic-medicine","מ.לרפואה משפטית","unknown","unknown","1","0","0","0","0","0","adapterInspect","no row URLs or no direct pilot source; adapter inspection first; no Master_Dept URLs; synthetic generic parser"
